,Date,Open,High,Low,Close
0,3/27/2018,173.68,175.15,166.92,168.34
1,3/26/2018,168.07,173.1,166.44,172.77
2,3/23/2018,168.39,169.92,164.94,164.94
3,3/22/2018,170,172.68,168.6,168.845
4,3/21/2018,175.04,175.09,171.26,171.27
5,3/20/2018,175.24,176.8,174.94,175.24
6,3/19/2018,177.32,177.47,173.66,175.3
7,3/16/2018,178.65,179.12,177.62,178.02
8,3/15/2018,178.5,180.24,178.0701,178.65
9,3/14/2018,180.32,180.52,177.81,178.44
10,3/13/2018,182.59,183.5,179.24,179.97
11,3/12/2018,180.29,182.39,180.21,181.72
12,3/9/2018,177.96,180,177.39,179.98
13,3/8/2018,175.48,177.12,175.07,176.94
14,3/7/2018,174.94,175.85,174.27,175.03
15,3/6/2018,177.91,178.25,176.13,176.67
16,3/5/2018,175.21,177.74,174.52,176.82
17,3/2/2018,172.8,176.3,172.45,176.21
18,3/1/2018,178.54,179.775,172.66,175
19,2/28/2018,179.26,180.615,178.05,178.12
20,2/27/2018,179.1,180.48,178.16,178.39
21,2/26/2018,176.35,179.39,176.21,178.97
22,2/23/2018,173.67,175.65,173.54,175.555
23,2/22/2018,171.8,173.95,171.71,172.6
24,2/21/2018,172.83,174.12,171.01,171.07
25,2/20/2018,172.05,174.26,171.42,171.85
26,2/16/2018,172.36,174.82,171.77,172.43
27,2/15/2018,169.79,173.09,169,172.99
28,2/14/2018,163.045,167.54,162.88,167.37
29,2/13/2018,161.95,164.75,161.65,164.34
30,2/12/2018,158.5,163.89,157.51,162.71
31,2/9/2018,157.07,157.89,150.24,155.97
32,2/8/2018,160.29,161,155.03,155.32
33,2/7/2018,163.085,163.4,159.0685,159.54
34,2/6/2018,154.83,163.72,154,163.03
35,2/5/2018,159.1,163.88,156,157.49
36,2/2/2018,166,166.8,160.1,160.37
37,2/1/2018,167.165,168.62,166.76,167.78
38,1/31/2018,166.87,168.4417,166.5,167.43
39,1/30/2018,165.525,167.37,164.7,166.97
40,1/29/2018,170.16,170.16,167.07,167.96
41,1/26/2018,172,172,170.06,171.51
42,1/25/2018,174.505,174.95,170.53,171.11
43,1/24/2018,177.25,177.3,173.2,174.22
44,1/23/2018,177.3,179.44,176.82,177.04
45,1/22/2018,177.3,177.78,176.6016,177
46,1/19/2018,178.61,179.58,177.41,178.46
47,1/18/2018,179.37,180.1,178.25,179.26
48,1/17/2018,176.15,179.25,175.07,179.1
49,1/16/2018,177.9,179.39,176.14,176.19
50,1/12/2018,176.18,177.36,175.65,177.09
51,1/11/2018,174.59,175.4886,174.49,175.28
52,1/10/2018,173.16,174.3,173,174.29
53,1/9/2018,174.55,175.06,173.41,174.33
54,1/8/2018,174.35,175.61,173.93,174.35
55,1/5/2018,173.44,175.37,173.05,175
56,1/4/2018,172.54,173.47,172.08,173.03
57,1/3/2018,172.53,174.55,171.96,172.23
58,1/2/2018,170.16,172.3,169.26,172.26
59,12/29/2017,170.52,170.59,169.22,169.23
60,12/28/2017,171,171.85,170.48,171.08
61,12/27/2017,170.1,170.78,169.71,170.6
62,12/26/2017,170.8,171.47,169.679,170.57
63,12/22/2017,174.68,175.424,174.5,175.01
64,12/21/2017,174.17,176.02,174.1,175.01
65,12/20/2017,174.87,175.42,173.25,174.35
66,12/19/2017,175.03,175.39,174.09,174.54
67,12/18/2017,174.88,177.2,174.86,176.42
68,12/15/2017,173.63,174.17,172.46,173.87
69,12/14/2017,172.4,173.13,171.65,172.22
70,12/13/2017,172.5,173.54,172,172.27
71,12/12/2017,172.15,172.39,171.461,171.7
72,12/11/2017,169.2,172.89,168.79,172.67
73,12/8/2017,170.49,171,168.82,169.37
74,12/7/2017,169.03,170.44,168.91,169.452
75,12/6/2017,167.5,170.2047,166.46,169.01
76,12/5/2017,169.06,171.52,168.4,169.64
77,12/4/2017,172.48,172.62,169.63,169.8
78,12/1/2017,169.95,171.67,168.5,171.05
79,11/30/2017,170.43,172.14,168.44,171.85
80,11/29/2017,172.63,172.92,167.16,169.48
81,11/28/2017,174.3,174.87,171.86,173.07
82,11/27/2017,175.05,175.08,173.34,174.09
83,11/24/2017,175.1,175.5,174.6459,174.97
84,11/22/2017,173.36,175,173.05,174.96
85,11/21/2017,170.78,173.7,170.78,173.14
86,11/20/2017,170.29,170.56,169.56,169.98
87,11/17/2017,171.04,171.39,169.64,170.15
88,11/16/2017,171.18,171.87,170.3,171.1
89,11/15/2017,169.97,170.3197,168.38,169.08
90,11/14/2017,173.04,173.48,171.18,171.34
91,11/13/2017,173.5,174.5,173.4,173.97
92,11/10/2017,175.11,175.38,174.27,174.67
93,11/9/2017,175.11,176.095,173.14,175.88
94,11/7/2017,173.91,175.25,173.6,174.81
95,11/6/2017,172.365,174.99,171.72,174.25
96,11/3/2017,174,174.26,171.12,172.5
97,11/2/2017,167.64,168.5,165.28,168.11
98,11/1/2017,169.87,169.94,165.61,166.89
99,10/31/2017,167.9,169.6499,166.94,169.04
100,10/30/2017,163.89,168.07,163.72,166.72
101,10/27/2017,159.29,163.6,158.7,163.05
102,10/26/2017,157.23,157.8295,156.78,157.41
103,10/25/2017,156.91,157.55,155.27,156.405
104,10/24/2017,156.29,157.42,156.2,157.1
105,10/23/2017,156.89,157.69,155.5,156.17
106,10/20/2017,156.61,157.75,155.96,156.16
107,10/19/2017,156.75,157.08,155.02,155.98
108,10/18/2017,160.42,160.71,159.6,159.76
109,10/17/2017,159.78,160.87,159.23,160.47
110,10/16/2017,157.9,160,157.65,159.88
111,10/13/2017,156.73,157.28,156.41,156.99
112,10/12/2017,156.35,157.37,155.7299,156
113,10/11/2017,155.97,156.98,155.75,156.55
114,10/10/2017,156.055,158,155.1,155.9
115,10/9/2017,155.81,156.73,155.485,155.84
116,10/6/2017,154.97,155.49,154.56,155.3
117,10/5/2017,154.18,155.44,154.05,155.39
118,10/4/2017,153.63,153.86,152.46,153.4508
119,10/3/2017,154.01,155.09,153.91,154.48
120,10/2/2017,154.26,154.45,152.72,153.81
121,9/29/2017,153.21,154.13,152,154.12
122,9/28/2017,153.89,154.28,152.7,153.28
123,9/27/2017,153.8,154.7189,153.54,154.23
124,9/26/2017,151.78,153.92,151.69,153.14
125,9/25/2017,149.99,151.83,149.16,150.55
126,9/22/2017,152.02,152.27,150.56,151.89
127,9/21/2017,155.8,155.8,152.75,153.39
128,9/20/2017,157.9,158.26,153.83,156.07
129,9/19/2017,159.51,159.77,158.44,158.73
130,9/18/2017,160.11,160.5,157.995,158.67
131,9/15/2017,158.47,160.97,158,159.88
132,9/14/2017,158.99,159.4,158.09,158.28
133,9/13/2017,159.87,159.96,157.91,159.65
134,9/12/2017,162.61,163.96,158.77,160.82
135,9/11/2017,160.5,162.05,159.89,161.5
136,9/8/2017,160.86,161.15,158.53,158.63
137,9/7/2017,162.09,162.24,160.36,161.26
138,9/6/2017,162.71,162.99,160.52,161.91
139,9/5/2017,163.75,164.25,160.56,162.08
140,9/1/2017,164.8,164.94,163.63,164.05
141,8/31/2017,163.64,164.52,163.48,164
142,8/30/2017,163.8,163.89,162.61,163.35
143,8/29/2017,160.1,163.12,160,162.91
144,8/28/2017,160.14,162,159.93,161.47
145,8/25/2017,159.65,160.56,159.27,159.86
146,8/24/2017,160.43,160.74,158.55,159.27
147,8/23/2017,159.07,160.47,158.88,159.98
148,8/22/2017,158.23,160,158.02,159.78
149,8/21/2017,157.5,157.89,155.1101,157.21
150,8/18/2017,157.86,159.5,156.72,157.5
151,8/17/2017,160.52,160.71,157.84,157.87
152,8/16/2017,161.94,162.51,160.15,160.95
153,8/15/2017,160.66,162.195,160.14,161.6
154,8/14/2017,159.32,160.21,158.75,159.85
155,8/11/2017,156.6,158.5728,156.07,157.48
156,8/10/2017,159.9,160,154.63,155.27
157,8/9/2017,159.26,161.27,159.11,161.06
158,8/8/2017,158.6,161.83,158.27,160.08
159,8/4/2017,156.07,157.4,155.69,156.39
160,8/3/2017,157.05,157.21,155.02,155.57
161,8/2/2017,159.28,159.75,156.16,157.14
162,8/1/2017,149.1,150.22,148.41,150.05
163,7/31/2017,149.9,150.33,148.13,148.85
164,7/28/2017,149.89,150.23,149.19,149.5
165,7/27/2017,153.75,153.99,147.3,150.56
166,7/26/2017,153.35,153.93,153.06,153.46
167,7/25/2017,151.8,153.84,151.8,152.74
168,7/24/2017,150.58,152.44,149.9,152.09
169,7/21/2017,149.99,150.44,148.88,150.27
170,7/20/2017,151.5,151.74,150.19,150.34
171,7/19/2017,150.48,151.42,149.95,151.02
172,7/18/2017,149.2,150.13,148.67,150.08
173,7/17/2017,148.82,150.9,148.57,149.56
174,7/14/2017,147.97,149.33,147.33,149.04
175,7/13/2017,145.5,148.49,145.44,147.77
176,7/12/2017,145.87,146.18,144.82,145.74
177,7/11/2017,144.73,145.85,144.38,145.53
178,7/10/2017,144.11,145.95,143.37,145.06
179,7/7/2017,142.9,144.75,142.9,144.18
180,7/6/2017,143.02,143.5,142.41,142.73
181,7/5/2017,143.69,144.79,142.7237,144.09
182,7/3/2017,144.88,145.3001,143.1,143.5
183,6/30/2017,144.45,144.96,143.78,144.02
184,6/29/2017,144.71,145.13,142.28,143.68
185,6/28/2017,144.49,146.11,143.1601,145.83
186,6/27/2017,145.01,146.16,143.62,143.74
187,6/26/2017,147.17,148.28,145.38,145.82
188,6/23/2017,145.13,147.16,145.11,146.35
189,6/22/2017,145.77,146.7,145.1199,145.63
190,6/21/2017,145.52,146.0693,144.61,145.87
191,6/20/2017,146.87,146.87,144.94,145.01
192,6/19/2017,143.66,146.74,143.66,146.34
193,6/16/2017,143.78,144.5,142.2,142.27
194,6/15/2017,143.32,144.4798,142.21,144.29
195,6/14/2017,147.5,147.5,143.84,145.16
196,6/13/2017,147.16,147.45,145.15,146.59
197,6/12/2017,145.74,146.09,142.51,145.32
198,6/9/2017,155.19,155.19,146.02,148.98
199,6/8/2017,155.25,155.54,154.4,154.99
200,6/7/2017,155.02,155.98,154.48,155.37
201,6/6/2017,153.9,155.81,153.78,154.45
202,6/5/2017,154.34,154.45,153.46,153.93
203,6/2/2017,153.58,155.45,152.89,155.45
204,6/1/2017,153.17,153.33,152.22,153.18
205,5/31/2017,153.97,154.17,152.38,152.76
206,5/30/2017,153.42,154.43,153.33,153.67
207,5/26/2017,154,154.24,153.31,153.61
208,5/25/2017,153.73,154.35,153.03,153.87
209,5/24/2017,153.84,154.17,152.67,153.34
210,5/23/2017,154.9,154.9,153.31,153.8
211,5/22/2017,154,154.58,152.91,153.99
212,5/19/2017,153.38,153.98,152.63,152.96
213,5/18/2017,151.27,153.34,151.13,152.54
214,5/17/2017,153.6,154.57,149.71,150.25
215,5/16/2017,155.94,156.06,154.72,155.47
216,5/15/2017,156.01,156.65,155.05,155.7
217,5/12/2017,154.7,156.42,154.67,156.1
218,5/11/2017,152.45,154.07,152.31,153.95
219,5/10/2017,153.63,153.94,152.11,153.26
220,5/9/2017,153.87,154.88,153.45,153.96
221,5/8/2017,149.03,153.7,149.03,153
222,5/5/2017,146.76,148.98,146.76,148.96
223,5/4/2017,146.52,147.14,145.81,146.53
224,5/3/2017,145.59,147.49,144.27,147.06
225,5/2/2017,147.54,148.09,146.84,147.51
226,5/1/2017,145.1,147.2,144.96,146.6
227,4/28/2017,144.09,144.3,143.27,143.65
228,4/27/2017,143.9225,144.16,143.31,143.79
229,4/26/2017,144.47,144.6,143.3762,143.6508
230,4/25/2017,143.91,144.9,143.87,144.54
231,4/24/2017,143.5,143.95,143.18,143.64
